Name,X,Y,Z
45301,338239.41,4478541.556,2102.981
45302,338239.529,4478554.976,2102.723
45303,338235.375,4478570.169,2102.502
45304,338225.306,4478582.639,2102.173
45305,338214.066,4478588.768,2100.973
45306,338203.55,4478601.323,2100.545
45307,338197.688,4478611.195,2100.712
45308,338189.423,4478634.834,2100.114
45309,338185.981,4478643.113,2099.558
45310,338184.301,4478650.982,2099.609
45311,338179.436,4478666.297,2098.873
45312,338176.415,4478682.278,2098.48
45313,338173.989,4478697.578,2097.986
45314,338159.607,4478711.851,2097.291
45315,338158.112,4478727.593,2096.824
45316,338157.894,4478742.616,2096.38
45317,338164.687,4478761.018,2095.788
45318,338156.473,4478776.409,2095.299
45319,338148.722,4478787.155,2095.201
45320,338143.522,4478803.76,2095.005
45321,338137.358,4478818.904,2095.088
45322,338129.616,4478830.739,2094.651
45323,338120.083,4478840.965,2093.653
45324,338110.094,4478850.422,2092.391
45325,338099.849,4478861.001,2091.362
45326,338086.868,4478871.839,2090.382
45327,338077.958,4478878.463,2089.497
45328,338069.195,4478888.363,2089.191
45329,338057.781,4478903.139,2088.525
45330,338050.502,4478917.452,2088.334
45331,338043.316,4478930.988,2088.015
45332,338035.652,4478944.881,2087.225
45333,338028.593,4478957.572,2086.525
45334,338019.814,4478970.857,2086.319
45335,338011.509,4478982.731,2086.296
45336,338002.269,4478994.092,2086.187
45337,337989.585,4479005.366,2086.079
45338,337977.125,4479014.794,2085.81
45339,337966.121,4479023.117,2085.427
45340,337954.308,4479030.081,2084.826
45341,337941.763,4479036.453,2083.978
45342,337929.287,4479045.567,2083.197
45343,337917.752,4479055.04,2082.786
45344,337904.492,4479064.038,2082.389
45345,337892.345,4479073.72,2081.951
45346,337880.835,4479082.048,2081.278
45347,337868.885,4479090.107,2080.763
45348,337854.835,4479098.203,2080.147
45349,337844.373,4479100.914,2079.722
45350,337830.172,4479107.146,2079.153
45351,337815.747,4479113.219,2078.795
45352,337803.337,4479120.589,2078.266
45353,337792.477,4479130.752,2077.892
45354,337783.804,4479142.767,2077.647
45355,337780.35,4479159.02,2077.008
45356,337779.393,4479174.535,2076.264
45357,337777.261,4479189.589,2075.771
45358,337775.838,4479204.659,2075.166
45359,337775.379,4479221.121,2074.96
45360,337774.045,4479234.574,2074.762
45361,337767.32,4479249.3,2074.617
45362,337758.306,4479262.76,2074.629
45363,337763.793,4479278.807,2074.477
45364,337760.329,4479293.189,2073.746
45365,337756.541,4479306.742,2073.019
45366,337753.326,4479321.88,2072.619
45367,337749.518,4479337.007,2072.331
45368,337744.774,4479350.864,2072.506
45369,337739.443,4479365.697,2072.607
45370,337735.99,4479382.031,2072.009
45371,337734.483,4479392.999,2071.552
45372,337731.266,4479409.422,2070.702
45373,337729.764,4479425.149,2070.121
45374,337729.806,4479441.032,2069.584
45375,337729.85,4479456.107,2069.075
45376,337727.817,4479470.804,2069.046
45377,337724.141,4479482.257,2068.98
45378,337716.954,4479496.851,2068.434
45379,337708.456,4479509.586,2067.647
45380,337699.998,4479525.983,2067.035
45381,337690.651,4479539.798,2066.808
45382,337686.824,4479547.179,2066.847
45383,337676.814,4479560.55,2066.596
45384,337663.226,4479570.99,2065.876
45385,337651.532,4479579.15,2078.51
45386,337638.711,4479585.16,2065.749
45387,337620.596,4479587.922,2077.946
45388,337608.648,4479597.381,2065.491
45389,337598.425,4479608.554,2077.482
45390,337588.356,4479620.258,2064.6
45391,337583.732,4479637.194,2076.367
45392,337576.506,4479649.703,2063.899
45393,337566.96,4479662.548,2076.291
45394,337558.212,4479675.839,2064.275
45395,337545.553,4479687.946,2076.294
45396,337537.97,4479698.489,2063.85
45397,337532.562,4479711.262,2077.127
45398,337525.083,4479724.107,2064.488
45399,337516.299,4479736.292,2077.082
45400,337506.339,4479747.841,2064.69
45401,337496.07,4479766.987,2078.024
45402,337488.191,4479775.331,2065.67
45403,337479.05,4479786.762,2078.345
45404,337470.387,4479798.479,2065.812
45405,337459.661,4479811.412,2078.046
45406,337450.174,4479821.878,2065.185
45407,337439.997,4479831.168,2076.596
45408,337431.926,4479840.935,2063.444
45409,337422.741,4479853.124,2074.947
45410,337414.533,4479865.939,2061.775
45411,337409.65,4479876.437,2074.09
45412,337401.905,4479891.177,2060.732
45413,337396.023,4479905.72,2072.424
45414,337389.505,4479919.413,2059.504
45415,337382.566,4479931.941,2071.621
